"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"TBC1D10C.2",0.00291220225089514,-0.114830247276044,0.163,0.186,1,"3","TBC1D10C"
"NR4A2.2",0.00292919017826731,-0.150980993133628,0.163,0.187,1,"3","NR4A2"
"ANXA1.1",0.00299465332023263,-0.134617064061088,0.83,0.774,1,"3","ANXA1"
"SHKBP1.1",0.00312483933937247,-0.11249367135578,0.203,0.225,1,"3","SHKBP1"
"NFKBIA",0.00313442369182167,-0.182648225658622,0.66,0.627,1,"3","NFKBIA"
"ATP1B3.1",0.00323284383686603,-0.128372864344171,0.676,0.636,1,"3","ATP1B3"
"MTDH.1",0.00359114755400998,-0.107472201301449,0.748,0.703,1,"3","MTDH"
"ACADVL",0.00367248288818396,-0.103777835851694,0.363,0.374,1,"3","ACADVL"
"BRD2.1",0.0037355122647913,-0.162532586449874,0.329,0.34,1,"3","BRD2"
"PSMB8",0.00374366515116282,-0.12194081695259,0.389,0.392,1,"3","PSMB8"
"SRSF5.1",0.00377292141778109,-0.113634502125713,0.64,0.605,1,"3","SRSF5"
"EGR1.1",0.0038516883789071,-0.157262587538742,0.129,0.152,1,"3","EGR1"
"SAMHD1.2",0.00429295297947797,-0.155158047188271,0.667,0.632,1,"3","SAMHD1"
"FCGR3A.3",0.00432741245677102,-0.200689025668887,0.541,0.526,1,"3","FCGR3A"
"ABL2",0.00441959032694337,-0.124533651336661,0.208,0.231,1,"3","ABL2"
"TMEM173.2",0.00452614862718585,-0.126689889549039,0.221,0.241,1,"3","TMEM173"
"SMCHD1.2",0.00471448901076628,-0.153350890693602,0.181,0.2,1,"3","SMCHD1"
"UPP1",0.00487214216933396,-0.1296852759339,0.641,0.604,1,"3","UPP1"
"DDX21",0.00492464812999869,-0.12579112790023,0.698,0.665,1,"3","DDX21"
"PPP4C",0.00521440146714473,-0.133865243525678,0.405,0.405,1,"3","PPP4C"
"PTPN1",0.00587614635359993,-0.127583445967662,0.233,0.251,1,"3","PTPN1"
"NR4A1.1",0.00589987601065794,-0.11452210716378,0.146,0.169,1,"3","NR4A1"
"FDPS",0.00604493079920295,-0.120893995216995,0.167,0.189,1,"3","FDPS"
"BTG2.1",0.00654699799990158,-0.100779895217902,0.137,0.159,1,"3","BTG2"
"DOCK10",0.00659333597341687,-0.128752024600321,0.165,0.185,1,"3","DOCK10"
"SRSF9",0.0075087195057374,-0.140570673855849,0.381,0.385,1,"3","SRSF9"
"HNRNPD",0.00802045445870418,-0.132401050630041,0.385,0.391,1,"3","HNRNPD"
"MYO1F.1",0.00821816312774496,-0.133383366122139,0.3,0.313,1,"3","MYO1F"
"IFNGR2.2",0.00845773753311122,-0.145425298003637,0.416,0.407,1,"3","IFNGR2"
"HNRNPU",0.0089338269930569,-0.137689195029418,0.561,0.537,1,"3","HNRNPU"
"CCT5",0.00902587197304155,-0.125245979072423,0.374,0.381,1,"3","CCT5"
"FLOT1.2",0.00992821636022633,-0.121275961979607,0.278,0.292,1,"3","FLOT1"
"CXCL3.2",3.04796400020384e-239,1.17632196550564,0.743,0.393,1.02698099022868e-234,"4","CXCL3"
"CXCL8.3",9.82111911184393e-206,1.24099097432272,0.417,0.127,3.30912787354469e-201,"4","CXCL8"
"CCL20",1.38128284243458e-194,1.20853456315344,0.3,0.071,4.65409440929906e-190,"4","CCL20"
"CXCL2.2",7.23275618889875e-145,0.768459754057746,0.565,0.27,2.43700487028754e-140,"4","CXCL2"
"MMP19.3",1.79715090736487e-138,0.626654202307822,0.632,0.333,6.05532026727518e-134,"4","MMP19"
"INHBA.3",8.86032692836871e-128,0.742999047476216,0.777,0.499,2.98539855524455e-123,"4","INHBA"
"CCL4.4",8.72397661922926e-127,1.12926904628191,0.287,0.089,2.93945668208311e-122,"4","CCL4"
"PHLDA1.3",4.6782357973857e-117,0.56433831129278,0.453,0.204,1.57628476957114e-112,"4","PHLDA1"
"THBD.2",1.13654783534148e-110,0.570962235556535,0.509,0.257,3.82948427639958e-106,"4","THBD"
"IL1A",5.73060175210328e-106,0.261892405620442,0.124,0.022,1.93086895435368e-101,"4","IL1A"
"HBEGF.4",1.12201379959793e-104,0.522752437389841,0.591,0.327,3.78051329636528e-100,"4","HBEGF"
"RGCC.2",1.85206878463155e-96,0.46896458300088,0.817,0.598,6.24036056293753e-92,"4","RGCC"
"ATF3.2",1.08183764787161e-94,0.426753640839217,0.46,0.22,3.64514377073862e-90,"4","ATF3"
"EGR2.2",3.59077392033531e-91,0.488510839178818,0.414,0.198,1.20987536471778e-86,"4","EGR2"
"CSF1.2",7.96230193705474e-91,0.616326882632117,0.273,0.101,2.68281801467122e-86,"4","CSF1"
"IL1B.4",1.89517559723686e-89,0.66368581269875,0.334,0.139,6.38560465732987e-85,"4","IL1B"
"NR4A1.2",9.18906682308635e-87,0.38874870468897,0.357,0.154,3.09616417537072e-82,"4","NR4A1"
"OLR1.2",4.90549189447991e-86,0.435241550377869,0.878,0.67,1.65285643892606e-81,"4","OLR1"
"CXCL5.2",1.07080114351521e-85,0.640356390285798,0.34,0.146,3.60795737296014e-81,"4","CXCL5"
"LMNA.3",3.45266004614725e-82,0.475889730059537,0.792,0.59,1.16333927594885e-77,"4","LMNA"
"CCL3.4",8.65578560146356e-82,1.07494414589815,0.306,0.13,2.91648040055713e-77,"4","CCL3"
"CCL4L2",3.53921887036489e-79,0.640531267956968,0.174,0.05,1.19250440618074e-74,"4","CCL4L2"
"CD83.1",4.87298417202902e-75,0.418924975261065,0.555,0.346,1.64190328692346e-70,"4","CD83"
"MIR3945HG.4",3.13950644343801e-74,0.511937876265037,0.516,0.304,1.057825301052e-69,"4","MIR3945HG"
"FOSB.2",5.6109094821558e-70,0.405334713275673,0.466,0.255,1.89053984091758e-65,"4","FOSB"
"B3GNT5",7.89787341271009e-69,0.405740514046938,0.542,0.336,2.66110946767854e-64,"4","B3GNT5"
"EREG.3",7.28066530825443e-66,0.380542967421715,0.313,0.139,2.45314736896325e-61,"4","EREG"
"EGR1.2",2.87401574569537e-65,0.366949077946204,0.312,0.14,9.68370865354598e-61,"4","EGR1"
"KLF6.1",5.33927238272964e-62,0.386804529123915,0.859,0.76,1.79901443663693e-57,"4","KLF6"
"DUSP1.2",4.76290246000313e-60,0.34794260205622,0.897,0.776,1.60481235487345e-55,"4","DUSP1"
"IL1RN.4",1.45277457877837e-58,0.704817770805565,0.348,0.183,4.89497866573583e-54,"4","IL1RN"
"RND3.4",5.72566910725613e-58,0.572926287329496,0.438,0.261,1.92920694899888e-53,"4","RND3"
"ETS2.2",9.8684869364813e-54,0.28331575533213,0.692,0.495,3.32508798837801e-49,"4","ETS2"
"ABL2.1",1.28244653595447e-53,0.323349401799904,0.389,0.218,4.32107535824501e-49,"4","ABL2"
"JUN.1",1.82306745279995e-53,0.49630981892207,0.738,0.58,6.14264347546415e-49,"4","JUN"
"CCL3L3",5.07210776818172e-52,0.358859973609144,0.134,0.043,1.70899599141115e-47,"4","CCL3L3"
