"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","category"
"Slc11a1.1",0,0.567863591172561,0.504,0.079,0,1,"Slc11a1",NA
"Lamp2.1",0,0.562465196873186,0.813,0.339,0,1,"Lamp2","CM"
"Plekho1",0,0.556697005037567,0.679,0.169,0,1,"Plekho1",NA
"Rnase4.1",0,0.555069766888062,0.453,0.091,0,1,"Rnase4",NA
"Metrnl.1",0,0.554639537866822,0.73,0.256,0,1,"Metrnl","Sec"
"Tnfsf12.1",0,0.554514740782651,0.523,0.087,0,1,"Tnfsf12",NA
"Lrpap1",0,0.552434004681174,0.601,0.151,0,1,"Lrpap1","CM"
"Tcirg1.1",0,0.549936134209549,0.655,0.188,0,1,"Tcirg1",NA
"P2rx4",0,0.547624005208851,0.613,0.162,0,1,"P2rx4","CM"
"Fam129b.1",0,0.547316566302811,0.562,0.129,0,1,"Fam129b",NA
"Tmem106a.1",0,0.539134660153566,0.569,0.127,0,1,"Tmem106a",NA
"Clec12a.1",0,0.538969681619698,0.606,0.172,0,1,"Clec12a","CM"
"Adam8.1",0,0.536557209822368,0.488,0.123,0,1,"Adam8",NA
"Ifi204.1",0,0.535709600254602,0.434,0.095,0,1,"Ifi204",NA
"Marcks.1",0,0.53500182916753,0.655,0.189,0,1,"Marcks",NA
"Eps8.1",0,0.534911573511343,0.522,0.093,0,1,"Eps8",NA
"Kcnn4.1",0,0.530414609944847,0.509,0.121,0,1,"Kcnn4",NA
"Pltp",0,0.528641847702101,0.435,0.097,0,1,"Pltp","CM"
"Rnf128",0,0.526308716530106,0.351,0.05,0,1,"Rnf128",NA
"F13a1",0,0.523900086687037,0.278,0.039,0,1,"F13a1",NA
"Myof.1",0,0.522847738912926,0.595,0.156,0,1,"Myof",NA
"Adssl1.1",0,0.512258686081084,0.543,0.106,0,1,"Adssl1",NA
"Dhrs3.1",0,0.508771028928296,0.647,0.188,0,1,"Dhrs3",NA
"Sdc4.1",0,0.504637943186078,0.4,0.086,0,1,"Sdc4",NA
"Sdc3.1",0,0.502192315753501,0.549,0.16,0,1,"Sdc3",NA
"Rab3il1",0,0.49622147525187,0.436,0.067,0,1,"Rab3il1",NA
"Pla2g7.1",0,0.488363393719337,0.641,0.194,0,1,"Pla2g7","CM"
"Adgre1.1",0,0.487031111261407,0.549,0.143,0,1,"Adgre1",NA
"Uap1l1.1",0,0.484570283455409,0.572,0.162,0,1,"Uap1l1",NA
"Rbpj",0,0.481942610441845,0.531,0.132,0,1,"Rbpj","TF"
"Ninj1.1",0,0.477227452561193,0.6,0.187,0,1,"Ninj1",NA
"Sash1",0,0.474398982471602,0.415,0.053,0,1,"Sash1",NA
"Tubb6",0,0.474336962403589,0.46,0.097,0,1,"Tubb6","CM"
"Tbxas1.1",0,0.474225242673944,0.541,0.123,0,1,"Tbxas1",NA
"App.1",0,0.466309871917862,0.822,0.315,0,1,"App",NA
"Fcrls",0,0.460953466931003,0.216,0.007,0,1,"Fcrls",NA
"Daglb",0,0.456879163877344,0.489,0.109,0,1,"Daglb",NA
"Olfm1.1",0,0.454300177521363,0.521,0.133,0,1,"Olfm1","CM"
"Ehd4",0,0.451380519162965,0.557,0.151,0,1,"Ehd4",NA
"Cyfip1.1",0,0.446328766795771,0.591,0.165,0,1,"Cyfip1",NA
"Mt1.1",0,0.44466918455433,0.904,0.398,0,1,"Mt1",NA
"Dpep2.1",0,0.442481504055,0.417,0.092,0,1,"Dpep2","CM"
"Dusp3.1",0,0.441815547882672,0.582,0.178,0,1,"Dusp3",NA
"Il11ra1",0,0.437036292654721,0.427,0.088,0,1,"Il11ra1",NA
"Abca1",0,0.436534557862073,0.388,0.081,0,1,"Abca1","CM"
"Pdgfa",0,0.433044273436828,0.305,0.019,0,1,"Pdgfa",NA
"Apobec1",0,0.430321822457689,0.488,0.107,0,1,"Apobec1",NA
"Tubb2a",0,0.428822625723698,0.419,0.073,0,1,"Tubb2a","CM"
"Slc37a2",0,0.420349005212172,0.392,0.055,0,1,"Slc37a2",NA
"Mfsd12",0,0.413208288463994,0.417,0.096,0,1,"Mfsd12",NA
"Tns3",0,0.406254611879376,0.382,0.044,0,1,"Tns3",NA
"Lair1.1",0,0.404068522144564,0.472,0.126,0,1,"Lair1","CM"
"Mdfic",0,0.401264429802165,0.473,0.107,0,1,"Mdfic",NA
"Clec4a1",0,0.398098374956828,0.288,0.045,0,1,"Clec4a1",NA
"Alcam",0,0.394707365191356,0.45,0.101,0,1,"Alcam","CM"
"Gm49339.1",0,0.381422205186628,0.46,0.096,0,1,"Gm49339",NA
"Plxnd1",0,0.37798309776147,0.407,0.096,0,1,"Plxnd1",NA
"Scpep1",0,0.375030173712813,0.487,0.121,0,1,"Scpep1","CM"
"Myo5a",0,0.373985794341505,0.427,0.086,0,1,"Myo5a",NA
"Cmklr1",0,0.371168757051224,0.351,0.02,0,1,"Cmklr1","CM"
"Renbp.1",0,0.362722973213096,0.521,0.143,0,1,"Renbp",NA
"Cst3.1",0,0.355167048164757,0.997,0.795,0,1,"Cst3","Sec"
"Rap2a.1",0,0.351679747071054,0.441,0.11,0,1,"Rap2a",NA
"Slc27a1",0,0.346982037329159,0.347,0.057,0,1,"Slc27a1",NA
"Gm21188",0,0.339583601342194,0.381,0.08,0,1,"Gm21188",NA
"Cmtm3",0,0.338575525646396,0.415,0.09,0,1,"Cmtm3",NA
"Lhfpl2",0,0.337212506724258,0.313,0.056,0,1,"Lhfpl2",NA
"Matk",0,0.328186356118172,0.327,0.051,0,1,"Matk",NA
"Zfhx3",0,0.324905829685889,0.352,0.071,0,1,"Zfhx3","TF"
"Olfml3",0,0.318990395101044,0.241,0.011,0,1,"Olfml3",NA
"Tmem205",0,0.318122802826329,0.421,0.09,0,1,"Tmem205",NA
"Adap2os",0,0.314411298412805,0.292,0.038,0,1,"Adap2os",NA
"Rai14",0,0.31406685283505,0.294,0.029,0,1,"Rai14",NA
"Slc36a2",0,0.312778319848784,0.266,0.03,0,1,"Slc36a2",NA
"Gas7",0,0.310659533610966,0.323,0.035,0,1,"Gas7",NA
"Slc7a8",0,0.290679071087437,0.283,0.039,0,1,"Slc7a8",NA
"Parvb",0,0.289643656871614,0.331,0.057,0,1,"Parvb",NA
"Fam213b",0,0.285769577003848,0.282,0.035,0,1,"Fam213b",NA
"Gm43796",0,0.284809745683735,0.365,0.076,0,1,"Gm43796",NA
"Zeb2os",0,0.282956258672944,0.365,0.072,0,1,"Zeb2os",NA
"Slc29a3",0,0.274254380215363,0.33,0.06,0,1,"Slc29a3",NA
"Tspan4",0,0.270504707228988,0.291,0.046,0,1,"Tspan4",NA
"Slc6a8",0,0.261861535334505,0.235,0.022,0,1,"Slc6a8","CM"
"Fau.1",0,-0.483605834742077,0.998,0.999,0,1,"Fau",NA
"Rps27.1",0,-1.06414682649097,0.99,0.998,0,1,"Rps27",NA
"Rps27rt.1",0,-1.14785652179914,0.946,0.974,0,1,"Rps27rt",NA
"Ltb.1",0,-1.60183518251747,0.105,0.538,0,1,"Ltb","CM"
"Mpeg1.1",1.51072898677831e-307,0.554771198128597,0.839,0.341,1.8501897901074e-303,1,"Mpeg1",NA
"Esd.1",6.36079364248121e-307,0.772212588087912,0.831,0.423,7.79006397394673e-303,1,"Esd",NA
"Atp13a2",5.96008136781526e-306,0.402851620782509,0.529,0.155,7.29931165116335e-302,1,"Atp13a2",NA
"Sh3pxd2b",2.99092713831949e-305,0.340521677188206,0.405,0.097,3.66298846629988e-301,1,"Sh3pxd2b",NA
"Tpp1.1",2.28708521376136e-304,0.428407332704094,0.615,0.203,2.80099326129354e-300,1,"Tpp1","CM"
"Blvrb.1",3.51299916739804e-304,0.619127813025665,0.643,0.234,4.30237008031238e-300,1,"Blvrb",NA
"Fkbp2.1",4.764483969508e-303,0.468467985514922,0.734,0.281,5.83506351745645e-299,1,"Fkbp2",NA
"Rasa4",4.90667910166977e-300,0.269482840984573,0.273,0.043,6.00920989581497e-296,1,"Rasa4",NA
"Gpnmb.1",1.64452921575638e-299,1.28791370589959,0.464,0.144,2.01405493053683e-295,1,"Gpnmb","CM"
"AA467197.1",1.87081202810643e-298,0.846748922689414,0.652,0.253,2.29118349082195e-294,1,"AA467197",NA
"BC028528",3.81368909868256e-296,0.289065596370413,0.464,0.121,4.67062503915653e-292,1,"BC028528","Sec"
"Mfsd1",8.94953284362487e-296,0.370357289540128,0.559,0.174,1.09604928735874e-291,1,"Mfsd1",NA
"Itga5.1",1.4299123790925e-294,0.329665755383778,0.413,0.101,1.75121369067458e-290,1,"Itga5","CM"
"Gm2a.1",1.5336012680531e-293,0.597840511329545,0.892,0.477,1.87820147298463e-289,1,"Gm2a",NA
"Clec4a3.1",8.44988043912923e-293,0.437756093584671,0.523,0.158,1.03485685738016e-288,1,"Clec4a3",NA
"Creg1.1",1.56628680682548e-291,0.661246471520678,0.787,0.36,1.91823145231916e-287,1,"Creg1",NA
"Rnh1.1",3.05517628590688e-291,0.654112781630571,0.794,0.38,3.74167439735016e-287,1,"Rnh1",NA
"Srxn1",4.223583551295e-291,0.412746219228113,0.274,0.046,5.17262277527099e-287,1,"Srxn1",NA
"Ifi207.1",5.58597163946257e-290,0.389956503056131,0.419,0.108,6.84113946684981e-286,1,"Ifi207",NA
"Cdkn1a.1",2.02317331899186e-289,0.398301461798836,0.678,0.253,2.47778036376933e-285,1,"Cdkn1a",NA
"Fth1.1",1.16496495444302e-288,0.632477711574527,0.999,0.995,1.42673257970637e-284,1,"Fth1",NA
"Ifi211",3.72528125044997e-288,0.470478195194721,0.297,0.055,4.56235194742608e-284,1,"Ifi211",NA
"Gabarapl1",1.4468622678686e-287,0.354099799606902,0.408,0.103,1.77197221945867e-283,1,"Gabarapl1",NA
"Acer3",1.56230219679638e-287,0.293907260653404,0.343,0.074,1.91335150041653e-283,1,"Acer3",NA
