"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"RFTN1.DC",6.17648813927185e-39,0.213157873214225,0.152,0.057,2.08110591364626e-34,"DC","RFTN1"
"WWTR1.DC",6.3238909457907e-39,-0.238723166432472,0.027,0.179,2.13077181527472e-34,"DC","WWTR1"
"RPL36A.DC",7.30446107556397e-39,0.293406004354803,0.939,0.922,2.46116511480052e-34,"DC","RPL36A"
"FPR2.DC",7.53227613181374e-39,-0.269231988907035,0.099,0.287,2.53792511985332e-34,"DC","FPR2"
"CD9.DC",1.38296147551029e-38,-0.403217451223389,0.583,0.741,4.65975039558436e-34,"DC","CD9"
"CEBPB.DC",1.39388618290214e-38,-0.239761369144109,0.493,0.712,4.69656010467048e-34,"DC","CEBPB"
"NLRP3.DC",1.56494660923804e-38,0.234161072148995,0.141,0.05,5.27293110516664e-34,"DC","NLRP3"
"ARRDC4.DC",1.74457954440513e-38,-0.275972952997349,0.066,0.238,5.87818631691864e-34,"DC","ARRDC4"
"CD151.DC",2.54368831205834e-38,-0.311831978987226,0.253,0.459,8.57070339864938e-34,"DC","CD151"
"RPS10.DC",5.52790045952641e-38,0.226032211316354,0.938,0.932,1.86257078083283e-33,"DC","RPS10"
"PTPMT1.DC",9.0506972595136e-38,-0.290705092703557,0.228,0.429,3.04954193462051e-33,"DC","PTPMT1"
"RPS16.DC",1.13892796555221e-37,0.201222270498026,0.981,0.978,3.8375038871316e-33,"DC","RPS16"
"KCNK6.DC",1.22218491782192e-37,0.340291777554851,0.265,0.14,4.11802986210918e-33,"DC","KCNK6"
"ALDOA.DC",1.68522234873947e-37,-0.274794564861873,0.732,0.82,5.67818818184277e-33,"DC","ALDOA"
"SLC19A3.DC",1.777105189648e-37,-0.219441200998656,0.018,0.16,5.98777822599997e-33,"DC","SLC19A3"
"SIPA1L1.DC",1.8660221344561e-37,0.20829576106396,0.174,0.072,6.2873749798364e-33,"DC","SIPA1L1"
"LAMP2.DC",2.41711057786246e-37,-0.298536820412969,0.364,0.568,8.14421238104976e-33,"DC","LAMP2"
"IL18.DC",2.75411039350398e-37,0.505947435370518,0.433,0.318,9.27969955987232e-33,"DC","IL18"
"CNIH4.DC",3.67733498714086e-37,-0.264831221081106,0.231,0.441,1.23904125056724e-32,"DC","CNIH4"
"PLPP3.DC",3.86736292317044e-37,-0.257696310523878,0.023,0.166,1.30306926333305e-32,"DC","PLPP3"
"HLA-DMA.DC",4.12716266388344e-37,0.348592270466695,0.837,0.763,1.39060618796889e-32,"DC","HLA-DMA"
"COLEC12.DC",5.24308396514686e-37,-0.248891891034258,0.06,0.225,1.76660471121658e-32,"DC","COLEC12"
"HLA-DQA2.DC",5.49993765618359e-37,0.510833626102314,0.256,0.128,1.8531489938745e-32,"DC","HLA-DQA2"
"BASP1.DC",7.09090221771158e-37,0.377206340509964,0.314,0.174,2.38920859323574e-32,"DC","BASP1"
"FNDC3B.DC",7.80428708403052e-37,-0.217192594896266,0.177,0.387,2.62957649009324e-32,"DC","FNDC3B"
"AQP9.DC",8.1394180034821e-37,-0.296038127506219,0.064,0.227,2.74249550209326e-32,"DC","AQP9"
"FAM105A.DC",1.01585494274209e-36,0.279096258921814,0.266,0.14,3.4228216440752e-32,"DC","FAM105A"
"BHLHE41.DC",1.8284234801267e-36,-0.272733776257164,0.263,0.478,6.1606900739389e-32,"DC","BHLHE41"
"ARHGAP9.DC",2.14411694704122e-36,0.222740922087027,0.175,0.074,7.2243876413607e-32,"DC","ARHGAP9"
"ANKRD44.DC",2.4035644118102e-36,0.296108063138953,0.265,0.139,8.0985699291533e-32,"DC","ANKRD44"
"HMGN1.DC",4.70910129136947e-36,0.376331029669143,0.641,0.568,1.58668458911403e-31,"DC","HMGN1"
"CTSB.DC",5.29326163611782e-36,-0.419080475024623,0.851,0.902,1.78351157567354e-31,"DC","CTSB"
"HEXB.DC",5.42820358985945e-36,-0.300959849233432,0.481,0.65,1.82897891756724e-31,"DC","HEXB"
"RRAGD.DC",5.49475768548339e-36,-0.21475001539632,0.108,0.293,1.85140365454677e-31,"DC","RRAGD"
"NMB.DC",7.12277618946714e-36,-0.292429085518469,0.059,0.216,2.39994820927906e-31,"DC","NMB"
"CMTM3.DC",7.56701182724424e-36,0.258648267408922,0.282,0.152,2.54962896507167e-31,"DC","CMTM3"
"DENND1B.DC",8.27020702182009e-36,0.284784673272663,0.202,0.094,2.78656355393206e-31,"DC","DENND1B"
"MTPN.DC",1.06377250772849e-35,-0.277952123102738,0.494,0.674,3.58427508754037e-31,"DC","MTPN"
"FAM195A.DC",1.12714219460107e-35,-0.234022114345232,0.115,0.296,3.79779291048883e-31,"DC","FAM195A"
"ACSL1.DC",1.23461772813789e-35,-0.29296839086273,0.328,0.543,4.15992097318781e-31,"DC","ACSL1"
"SLC7A8.DC",2.78655033398773e-35,-0.22933387234946,0.031,0.173,9.38900269533826e-31,"DC","SLC7A8"
"DNASE2.DC",2.90709655348378e-35,-0.281127799663629,0.209,0.41,9.79517112730825e-31,"DC","DNASE2"
"RNF145.DC",3.44861634724684e-35,0.34005313850318,0.332,0.192,1.16197679204135e-30,"DC","RNF145"
"GDI2.DC",4.11837477725986e-35,0.411829952638678,0.63,0.554,1.38764519744994e-30,"DC","GDI2"
"GPX1.DC",6.11234392068621e-35,0.276929500425479,0.941,0.918,2.05949316063601e-30,"DC","GPX1"
"CXorf21.DC",8.24716147168137e-35,0.219060016388766,0.16,0.066,2.77879858626832e-30,"DC","CXorf21"
"FMNL2.DC",9.7817653935847e-35,-0.222805954669946,0.103,0.278,3.29586803171443e-30,"DC","FMNL2"
"SLC7A7.DC",2.3853176965719e-34,-0.256689921871033,0.368,0.58,8.03708944682935e-30,"DC","SLC7A7"
"TNS3.DC",2.54473005728851e-34,-0.232710444312741,0.072,0.234,8.57421345502791e-30,"DC","TNS3"
"ARHGDIB.DC",3.27020900922637e-34,0.341205524248688,0.743,0.7,1.10186422356873e-29,"DC","ARHGDIB"
"CD59.DC",3.34601634478957e-34,-0.294635859678522,0.303,0.501,1.1274067472134e-29,"DC","CD59"
"FGR.DC",3.3511920396719e-34,-0.276359040688879,0.373,0.576,1.12915064584705e-29,"DC","FGR"
"NDUFB9.DC",3.51843375844396e-34,-0.274385445084768,0.516,0.679,1.18550107057011e-29,"DC","NDUFB9"
"TNNI2.DC",3.77317420730439e-34,-0.223693383746763,0.068,0.224,1.27133331740914e-29,"DC","TNNI2"
"BLVRA.DC",4.09576236437326e-34,-0.255356550702556,0.237,0.434,1.38002617105193e-29,"DC","BLVRA"
"RHOH.DC",4.17426098418106e-34,0.213802599543834,0.142,0.055,1.40647549600997e-29,"DC","RHOH"
"CSTA.DC",4.30677463247799e-34,-0.299142766723105,0.61,0.747,1.45112464466713e-29,"DC","CSTA"
"CRIP1.DC",4.34155837816679e-34,-0.311177750073266,0.452,0.628,1.46284467993952e-29,"DC","CRIP1"
"CXCR4.DC",4.99987155754039e-34,0.482042219818448,0.601,0.48,1.68465672259766e-29,"DC","CXCR4"
"ARL6IP1.DC",8.18104004896707e-34,-0.30492218687699,0.486,0.673,2.75651963409897e-29,"DC","ARL6IP1"
"GPCPD1.DC",9.78651311299707e-34,-0.26099698009235,0.241,0.444,3.29746772829323e-29,"DC","GPCPD1"
"NEAT1.DC",1.45626389649036e-33,0.258844612441359,0.952,0.926,4.90673557283462e-29,"DC","NEAT1"
"NAIP.DC",1.48860947206998e-33,0.21547591585524,0.213,0.102,5.01572075519259e-29,"DC","NAIP"
"IDH2.DC",1.94523950543199e-33,0.330713200321678,0.294,0.172,6.55428998960255e-29,"DC","IDH2"
"UQCR11.DC",2.02559524527118e-33,-0.22315375909829,0.79,0.859,6.82504061941671e-29,"DC","UQCR11"
"FOLR3.DC",2.26058651052518e-33,-0.529043774103527,0.041,0.181,7.61682018856355e-29,"DC","FOLR3"
"NPL.DC",2.65339842296374e-33,-0.229015739838926,0.089,0.252,8.94036064633403e-29,"DC","NPL"
"TMEM38B.DC",4.57646954468819e-33,-0.228357742781505,0.085,0.244,1.54199564838724e-28,"DC","TMEM38B"
"CTSC.DC",4.93227257591159e-33,-0.331278327363594,0.688,0.775,1.66187992172765e-28,"DC","CTSC"
"CPVL.DC",5.65122189437508e-33,0.5402332262349,0.471,0.36,1.90412270509074e-28,"DC","CPVL"
"FCGR1A.DC",1.15469484648556e-32,-0.27715809637897,0.172,0.36,3.89062881574844e-28,"DC","FCGR1A"
"DNASE2B.DC",1.16529484071555e-32,-0.206014263864694,0.02,0.147,3.92634443630697e-28,"DC","DNASE2B"
"BTG1.DC",1.54585521957554e-32,0.413222525053406,0.782,0.723,5.20860457683782e-28,"DC","BTG1"
"CNN2.DC",1.63917462196602e-32,0.299779128140677,0.296,0.174,5.52303497125231e-28,"DC","CNN2"
"RHBDD2.DC",3.08572459267657e-32,-0.225470618552829,0.183,0.367,1.03970404425644e-27,"DC","RHBDD2"
"MCOLN1.DC",3.95962950154081e-32,-0.215916888194837,0.17,0.354,1.33415756424916e-27,"DC","MCOLN1"
"CXCL5.DC",4.3544519122138e-32,-0.442945184064246,0.032,0.165,1.46718902730132e-27,"DC","CXCL5"
"SCARB2.DC",4.97747003701334e-32,-0.258479489856413,0.191,0.379,1.67710875427127e-27,"DC","SCARB2"
"RHOB.DC",5.61676059053395e-32,-0.227705143259138,0.322,0.533,1.89251131337451e-27,"DC","RHOB"
"GNAQ.DC",6.77103664083763e-32,0.377367288280011,0.521,0.412,2.28143308576383e-27,"DC","GNAQ"
"NR1H3.DC",8.96968380389087e-32,-0.241898937247302,0.03,0.159,3.02224526088299e-27,"DC","NR1H3"
"ADAMTSL4.DC",1.00006425968388e-31,-0.209958417413557,0.139,0.316,3.36961651657887e-27,"DC","ADAMTSL4"
"POR.DC",1.03494584374652e-31,-0.242815297498525,0.153,0.33,3.48714652591952e-27,"DC","POR"
"PMAIP1.DC",1.53034697226396e-31,0.235108129372133,0.111,0.04,5.1563510883462e-27,"DC","PMAIP1"
"GM2A.DC",1.64099258341121e-31,-0.301294582333033,0.194,0.375,5.52916041054574e-27,"DC","GM2A"
"CCPG1.DC",1.65709933059421e-31,-0.249556030815189,0.19,0.373,5.58343048450413e-27,"DC","CCPG1"
"ACTG1.DC",2.29573334913956e-31,0.237335006508725,0.931,0.926,7.73524394659083e-27,"DC","ACTG1"
"NAP1L1.DC",3.0752781462285e-31,0.324921681964742,0.828,0.794,1.03618421859023e-26,"DC","NAP1L1"
"INSIG1.DC",3.14265202709239e-31,0.315782753369316,0.251,0.137,1.05888517400851e-26,"DC","INSIG1"
"SPARC.DC",5.27973207134436e-31,-0.307115138277703,0.019,0.139,1.77895292411877e-26,"DC","SPARC"
"ALAS1.DC",7.64825643752844e-31,-0.20515435736601,0.069,0.217,2.57700352406083e-26,"DC","ALAS1"
"RP11-796E2.4.DC",1.18685542029063e-30,0.208812761737812,0.172,0.077,3.99899065312725e-26,"DC","RP11-796E2.4"
"AIF1.DC",1.19188622099816e-30,0.344475178303553,0.829,0.802,4.01594143303121e-26,"DC","AIF1"
"VEGFA.DC",1.25979914361179e-30,0.252248113844605,0.146,0.061,4.24476723448556e-26,"DC","VEGFA"
"TYMP.DC",1.30255854227272e-30,0.367216516673519,0.7,0.623,4.38884075233372e-26,"DC","TYMP"
"SIDT2.DC",1.32256923207544e-30,-0.211207274109319,0.097,0.253,4.456264770555e-26,"DC","SIDT2"
"GGA2.DC",1.45566722131057e-30,-0.271948812077953,0.157,0.327,4.90472513548383e-26,"DC","GGA2"
"RPLP0.DC",1.61982307085511e-30,0.203356400301341,0.932,0.922,5.45783185493922e-26,"DC","RPLP0"
"DECR1.DC",1.96266129203637e-30,-0.234990737284148,0.21,0.389,6.61299095738734e-26,"DC","DECR1"
"OTOA.DC",2.17343480771263e-30,-0.230264371897031,0.072,0.218,7.32317124110693e-26,"DC","OTOA"
"IFITM2.DC",3.22289186928888e-30,0.26625380240632,0.424,0.288,1.0859211864382e-25,"DC","IFITM2"
"PGD.DC",7.05900463361664e-30,-0.25732862023969,0.348,0.534,2.37846102125079e-25,"DC","PGD"
"HLA-B.DC",7.79085611457605e-30,-0.227682559688275,0.964,0.981,2.62505105924525e-25,"DC","HLA-B"
"OSCAR.DC",8.31766386422515e-30,-0.247706747394031,0.177,0.349,2.80255366241202e-25,"DC","OSCAR"
"CREG1.DC",9.70461225716552e-30,-0.304633434187237,0.327,0.511,3.26987205392935e-25,"DC","CREG1"
"CSF1.DC",1.88988095433733e-29,-0.30730499046387,0.01,0.118,6.36776488754421e-25,"DC","CSF1"
"CTNNB1.DC",2.36087599042948e-29,-0.283394995543881,0.471,0.659,7.95473556215308e-25,"DC","CTNNB1"
"FDX1.DC",2.7227861661458e-29,-0.314343931345188,0.211,0.379,9.17415570821167e-25,"DC","FDX1"
"FILIP1L.DC",2.78491376870487e-29,0.430146651316611,0.348,0.227,9.3834884522742e-25,"DC","FILIP1L"
"SEC14L1.DC",3.8981220832635e-29,0.292663382958442,0.29,0.175,1.3134332547348e-24,"DC","SEC14L1"
"UBE2L6.DC",7.22335686968156e-29,-0.234146727737641,0.28,0.465,2.43383786367051e-24,"DC","UBE2L6"
"BTF3.DC",7.86559452062648e-29,0.211149355190236,0.877,0.851,2.65023341777989e-24,"DC","BTF3"
"TNFRSF1B.DC",9.90523922627334e-29,0.244834390076841,0.328,0.199,3.33747130490054e-24,"DC","TNFRSF1B"
"CREB5.DC",2.60618806091775e-28,0.250431440562527,0.175,0.083,8.78129005245626e-24,"DC","CREB5"
"FXYD5.DC",3.42443243702198e-28,0.317096005221514,0.673,0.629,1.15382826533019e-23,"DC","FXYD5"
"TGFBI.DC",3.55415071627092e-28,0.300453157351412,0.511,0.395,1.19753554234033e-23,"DC","TGFBI"
"SOD1.DC",5.37161397113654e-28,-0.274743366190735,0.526,0.655,1.80991161143475e-23,"DC","SOD1"
"APOL6.DC",7.34644172870391e-28,-0.203888382387685,0.163,0.337,2.4753100760695e-23,"DC","APOL6"
"DNMT1.DC",7.5112391294698e-28,0.300313712523158,0.291,0.178,2.53083691228355e-23,"DC","DNMT1"
"NAAA.DC",7.90744697941378e-28,0.380186278820072,0.325,0.215,2.66433518524368e-23,"DC","NAAA"
"CLEC12A.DC",1.06334417513811e-27,-0.211895768426523,0.188,0.366,3.58283186371035e-23,"DC","CLEC12A"
"BLOC1S2.DC",1.14711920951055e-27,-0.243085133984531,0.319,0.483,3.86510346452485e-23,"DC","BLOC1S2"
"ALCAM.DC",1.36227661699766e-27,0.340763290319232,0.631,0.553,4.5900548333119e-23,"DC","ALCAM"
"TNFAIP8.DC",1.60209712728153e-27,0.249540202801238,0.269,0.157,5.39810606066238e-23,"DC","TNFAIP8"
"CD164.DC",1.7397801430635e-27,-0.242854647612839,0.593,0.742,5.86201521403816e-23,"DC","CD164"
"IL16.DC",3.20404760682432e-27,0.228655360125633,0.207,0.107,1.07957180064339e-22,"DC","IL16"
