"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","category"
"Pou2af1.Mac",8.02913223017322e-126,-0.464098091341049,0.013,0.119,9.83327824229314e-122,"Mac","Pou2af1",NA
"Eif3h.Mac",9.34068194533621e-126,-0.388808206279282,0.761,0.701,1.14395331784533e-121,"Mac","Eif3h",NA
"mt-Nd2.Mac",1.22946739243279e-125,0.426745917693116,0.972,0.838,1.50572871551244e-121,"Mac","mt-Nd2",NA
"Itk.Mac",1.73025909893906e-124,-0.287175206130652,0.008,0.108,2.11904831847067e-120,"Mac","Itk",NA
"Crip1.Mac",6.19592830819194e-123,0.535963241640136,0.824,0.78,7.58815339904267e-119,"Mac","Crip1",NA
"Dapl1.Mac",6.59838496026811e-123,-0.583937965433523,0.012,0.116,8.08104206084035e-119,"Mac","Dapl1",NA
"Atp1b1.Mac",8.66360292821865e-123,-0.382038565346369,0.012,0.115,1.06103145061894e-118,"Mac","Atp1b1","CM"
"Tnfrsf13c.Mac",4.17887570882042e-122,-0.421731860337571,0.009,0.109,5.11786908059236e-118,"Mac","Tnfrsf13c",NA
"Crlf3.Mac",1.02363139894031e-121,-0.602649893263827,0.279,0.394,1.2536413742822e-117,"Mac","Crlf3",NA
"Gm26740.Mac",1.48001025369299e-121,-0.542901405184143,0.186,0.321,1.81256855769781e-117,"Mac","Gm26740",NA
"Cd8b1.Mac",1.73573583043557e-121,-0.805380179305203,0.027,0.139,2.12575567153444e-117,"Mac","Cd8b1",NA
"Il18r1.Mac",3.54956541374851e-121,-0.349405442846423,0.009,0.108,4.34715276221781e-117,"Mac","Il18r1","CM"
"Cst7.Mac",5.31893265274802e-121,-0.363980317375852,0.017,0.123,6.51409681982051e-117,"Mac","Cst7",NA
"Ypel3.Mac",6.47204161722312e-121,-0.537996924033683,0.544,0.577,7.92630936861316e-117,"Mac","Ypel3",NA
"Snrpg.Mac",1.04204054363517e-120,-0.329706001527937,0.848,0.778,1.27618705378999e-116,"Mac","Snrpg",NA
"Pabpc1.Mac",1.24710583493492e-119,-0.281114168290094,0.915,0.857,1.5273305160448e-115,"Mac","Pabpc1",NA
"Arhgap45.Mac",1.64421416936408e-118,-0.517133691677271,0.384,0.474,2.01366909322019e-114,"Mac","Arhgap45",NA
"Rps17.Mac",2.59112873099684e-116,-0.270999144470653,0.975,0.906,3.17335535685184e-112,"Mac","Rps17",NA
"Ifi206.Mac",2.26454880358333e-115,-0.404701678187149,0.043,0.161,2.7733929197485e-111,"Mac","Ifi206",NA
"Sp100.Mac",1.30823184492572e-113,-0.528465647945276,0.247,0.369,1.60219154048053e-109,"Mac","Sp100","TF"
"H3f3b.Mac",2.2226753567313e-113,-0.399219648060212,0.986,0.987,2.72211050938882e-109,"Mac","H3f3b",NA
"Fam107b.Mac",4.60012508760146e-113,-0.553714205457794,0.235,0.356,5.63377319478551e-109,"Mac","Fam107b",NA
"St3gal6.Mac",2.58250090194827e-112,-0.397943573154396,0.034,0.145,3.16278885461605e-108,"Mac","St3gal6",NA
"Stat4.Mac",2.88688684432619e-112,-0.271774910243896,0.009,0.102,3.53557031824628e-108,"Mac","Stat4","CM"
"Lbh.Mac",9.32259996369612e-112,-0.446744016673189,0.089,0.216,1.14173881755386e-107,"Mac","Lbh",NA
